lumTrt,lumBlk,lumVal,lumVol
1,1,17.67,0.090
1,2,31.76,0.123
1,3,30.77,0.135
1,4,40.27,0.152
1,5,33.51,0.126
1,6,23.07,0.101
1,7,21.33,0.091
1,8,26.28,0.115
1,9,28.89,0.121
1,10,18.46,0.094
1,11,35.61,0.174
1,12,23.15,0.139
1,13,18.03,0.135
1,14,28.22,0.153
1,15,20.33,0.123
1,16,12.42,0.092
1,17,21.90,0.146
1,18,36.16,0.163
1,19,13.73,0.096
1,20,15.74,0.092
1,21,19.22,0.127
1,22,17.12,0.120
1,23,15.21,0.111
1,24,22.03,0.138
1,25,31.22,0.176
1,26,25.69,0.096
1,27,29.25,0.115
1,28,32.77,0.137
1,29,31.88,0.110
1,30,24.54,0.103
2,1,20.83,0.092
2,2,35.05,0.121
2,3,33.60,0.140
2,4,42.52,0.156
2,5,35.06,0.131
2,6,25.37,0.105
2,7,21.95,0.092
2,8,28.07,0.117
2,9,31.94,0.123
2,10,19.14,0.092
2,11,38.18,0.175
2,12,25.67,0.139
2,13,19.58,0.135
2,14,30.89,0.154
2,15,21.36,0.118
2,16,13.01,0.100
2,17,24.52,0.143
2,18,38.12,0.162
2,19,14.74,0.100
2,20,17.96,0.096
2,21,20.69,0.128
2,22,19.12,0.132
2,23,16.42,0.117
2,24,23.58,0.135
2,25,32.66,0.183
2,26,28.39,0.102
2,27,31.63,0.116
2,28,33.29,0.140
2,29,34.79,0.116
2,30,26.23,0.110
3,1,21.03,0.093
3,2,34.24,0.121
3,3,34.87,0.141
3,4,42.89,0.153
3,5,36.48,0.133
3,6,26.34,0.107
3,7,23.00,0.093
3,8,28.69,0.120
3,9,32.49,0.129
3,10,21.76,0.093
3,11,39.87,0.173
3,12,27.22,0.140
3,13,20.70,0.145
3,14,30.05,0.156
3,15,21.62,0.118
3,16,14.02,0.099
3,17,25.06,0.141
3,18,38.86,0.168
3,19,15.12,0.100
3,20,18.00,0.097
3,21,20.83,0.135
3,22,19.31,0.131
3,23,16.63,0.116
3,24,24.24,0.145
3,25,32.90,0.182
3,26,28.81,0.102
3,27,30.72,0.116
3,28,35.87,0.141
3,29,34.82,0.116
3,30,26.54,0.110
