tablepage,datcolumn,prlxsun
310,1,8.5
310,1,8.5
310,1,7.33
310,1,8.64
310,1,9.27
310,1,9.06
310,1,9.25
310,1,9.09
310,1,8.5
310,1,8.06
310,1,8.43
310,1,8.44
310,1,8.14
310,1,7.68
310,1,10.34
310,1,8.07
310,1,8.36
310,1,9.71
310,2,8.9
310,2,7.35
310,2,7.68
310,2,8.65
310,2,8.35
310,2,8.71
310,2,8.31
310,2,8.36
310,2,8.58
310,2,7.8
310,2,7.71
310,2,8.3
310,2,9.71
310,2,8.5
310,2,8.28
310,2,9.87
310,2,8.86
310,3,5.76
310,3,8.44
310,3,8.23
310,3,9.07
310,3,10.48
310,3,8.31
310,3,8.67
310,3,8.5
310,3,8.8
310,3,8.4
310,3,8.82
310,3,9.02
310,3,10.57
310,3,9.11
310,3,8.66
310,3,8.34
310,3,8.6
310,3,7.99
316,4,8.58
316,4,8.34
316,4,9.64
316,4,8.34
316,4,8.55
316,4,9.54
316,4,8.23
316,5,9.32
316,5,6.96
316,5,7.47
316,5,8.7
316,5,9.66
316,5,8.5
316,5,8.65
316,6,10.33
316,6,8.07
316,6,8.5
316,6,8.6
316,6,9.61
316,6,8.5
316,6,8.35
316,7,10.15
316,7,7.77
316,7,8.23
316,7,7.92
316,7,8.42
316,7,7.75
316,7,8.71
316,8,8.28
316,8,8.7
316,8,8.6
316,8,8.43
316,8,9.09
316,8,8.5
316,8,8.44
316,9,9.71
316,9,8.07
316,9,8.36
316,9,8.6
316,9,9.11
316,9,8.66
316,9,8.58
316,10,9.54
316,10,8.34
316,10,8.55
316,10,9.03
316,10,10.04
316,10,9.04
316,10,8.28
316,11,8.03
316,11,8.85
316,11,8.74
316,11,8.63
316,11,10.16
316,11,8.5
316,11,8.31
316,12,10.8
316,12,7.5
316,12,8.12
316,12,8.42
316,12,9.2
316,12,8.16
316,12,8.36
326,13,9.77
326,13,7.52
326,13,7.96
326,13,7.83
326,13,8.62
326,13,7.54
326,13,8.43
326,13,8.54
326,13,8.56
326,13,8.54
326,13,8.74
326,13,8.91
326,13,8.4
326,13,8.4
326,13,8.57
326,13,8.69
326,13,8.55
326,13,8.51
326,13,8.57
326,13,8.58
326,13,8.63
326,14,8.56
326,14,8.41
326,14,8.64
326,14,8.37
326,14,8.54
326,14,8.58
326,14,8.54
326,14,8.94
326,14,9.24
326,14,8.3
326,14,8.33
326,14,8.59
326,14,8.81
326,14,8.56
326,14,8.5
326,14,8.58
326,14,8.58
326,14,8.68
326,14,8.57
326,14,8.33
326,14,8.62
